"HMM"	"PS"
"CAB1312405.1"	40.9	1948
"CAB1313289.1"	274	1919
"CAB1313322.1"	159.4	2036
"CAB1313836.1"	0	2273
"CAB1314681.1"	59.6	1999
"CAB1316488.1"	0	3543
"CAB1317442.1"	0	3278
"CAB1318021.1"	0	2011
"CAB1318108.1"	44.5	1855
"CAB1318234.1"	0	1837
"CAB1318388.1"	0	3019
"CAB1318510.1"	0	1629
"CAB1318545.1"	102.1	2670
"CAB1319253.1"	40.4	2212
"CAB1319573.1"	0	3498
"CAB1319669.1"	0	3217
"CAB1319817.1"	0	2699
"CAB1319939.1"	0	1943
"CAB1320215.1"	32.5	0
"CAB1320242.1"	102.4	2701
"CAB1321080.1"	101.3	2486
"CAB1321098.1"	0	2009
"CAB1321175.1"	0	3065
"CAB1321188.1"	0	3509
"CAB1321346.1"	6.4	0
"CAB1321979.1"	0	3101
"CAB1322436.1"	40.7	2225
"CAB1322909.1"	0	2621
"CAB1323222.1"	0	2292
"CAB1324157.1"	61.9	2164
"CAB1324882.1"	52.8	0
"CAB1324967.1"	305.5	2887
"CAB1324995.1"	0	3173
"CAB1326955.1"	98.1	2064
"CAB1328030.1"	0	1614
"CAB1329510.1"	0	2765
"CAB1329540.1"	32	0
"CAB1329891.1"	0	2307
"CAB1330134.1"	0	3302
"CAB1330405.1"	0	2557
"CAB1330496.1"	0	1972
"CAB1332033.1"	62.7	2096
"CAB1332636.1"	0	3541
"CAB1332745.1"	102.7	2798
"CAB1332788.1"	0	1713
"CAB1333645.1"	37.8	1887
"CAB1333733.1"	81.6	2142
"CAB1334074.1"	0	3187
"CAB1334326.1"	84.7	2444
"CAB1334526.1"	0	2013
"CAB1336333.1"	0	2332
"CAB1336490.1"	0	3416
"CAB1336727.1"	0	2945
"CAB1337242.1"	0	2048
"CAB1337464.1"	0	2832
"CAB1337663.1"	0	3173
"CAB1337717.1"	97.4	1445
"CAB1337724.1"	259.1	2660
"CAB1338013.1"	0	1865
"CAB1338364.1"	230.8	1950
"CAB1338828.1"	0	2172
"CAB1340129.1"	0	2037
"CAB1340515.1"	66.8	1992
"CAB1340588.1"	0	1570
"CAB1340595.1"	0	2384
"CAB1340944.1"	0	3102
"CAB1341107.1"	0	3013
"CAB1341212.1"	96.3	2453
"CAB1341729.1"	0	3064
"CAB1342127.1"	0	1821
"CAB1342153.1"	0	2884
"CAB1343364.1"	41.6	1972
"CAB1346391.1"	0	2332
"CAB1347762.1"	33.2	0
"CAB1349773.1"	0	2708
"CAB1349999.1"	47.4	1760
"CAB1351217.1"	105.6	2662
"CAB1351242.1"	0	3371
"CAB1351289.1"	0	1425
"CAB1351330.1"	0	2431
"CAB1352112.1"	44.9	1734
"CAB1352203.1"	0	2589
"CAB1352471.1"	0	3507
"CAB1352530.1"	72.5	1790
"CAB1352854.1"	0	3019
"CAB1353411.1"	88.9	2527
"CAB1353480.1"	0	3284
"CAF87026.1"	0	1564
"CAF87541.1"	0	2026
"CAF87641.1"	55.2	1668
"CAF88456.1"	0	2026
"CAF88590.1"	51.2	1473
"CAF89762.1"	35	0
"CAF89810.1"	29.2	0
"CAF90393.1"	0	2068
"CAF90795.1"	0	2102
"CAF90948.1"	0	1447
"CAF91912.1"	55.4	1729
"CAF91934.1"	0	2189
"CAF92431.1"	21.3	0
"CAF93025.1"	0	1693
"CAF93568.1"	0	3683
"CAF94606.1"	22.1	0
"CAF94670.1"	53.1	1594
"CAF95785.1"	0	2965
"CAF96242.1"	41.9	2180
"CAF96897.1"	0	3365
"CAF97304.1"	0	3351
"CAF97504.1"	0	3673
"CAF97553.1"	0	1879
"CAF97873.1"	0	3322
"CAF98039.1"	67.5	2442
"CAF98166.1"	0	2113
"CAF98558.1"	55.7	1729
"CAF99053.1"	0	2721
"CAF99175.1"	98.6	2741
"CAF99275.1"	0	3091
"CAG00069.1"	0	1990
"CAG02398.1"	0	2402
"CAG02806.1"	0	3054
"CAG03645.1"	98.4	2105
"CAG03790.1"	0	3136
"CAG05293.1"	0	2864
"CAG05331.1"	0	3038
"CAG06579.1"	62	0
"CAG07019.1"	94.8	2595
"CAG07226.1"	0	2948
"CAG07417.1"	0	3203
"CAG07622.1"	10.5	3090
"CAG08321.1"	0	2879
"CAG08450.1"	0	2932
"CAG08580.1"	0	3603
"CAG08886.1"	0	2062
"CAG09048.1"	71.3	2124
"CAG09169.1"	0	1480
"CAG09369.1"	43.3	1835
"CAG09581.1"	0	1717
"CAG09628.1"	45.3	2269
"CAG09671.1"	13.6	0
"CAG10790.1"	0	2165
"CAG10822.1"	0	3629
"CAG11013.1"	0	2822
"CAG11080.1"	71	0
"CAG11965.1"	0	3332
"CAG12058.1"	0	3355
"CAG12137.1"	92.7	2060
"CAG5849563.1"	0	1559
"CAG5853905.1"	0	2152
"CAG5854104.1"	0	2804
"CAG5862197.1"	60.8	2072
"CAG5864309.1"	0	1917
"CAG5866869.1"	0	3769
"CAG5867160.1"	0	2460
"CAG5867206.1"	0	3612
"CAG5867431.1"	0	2994
"CAG5867505.1"	96.9	2676
"CAG5867727.1"	0	2843
"CAG5870884.1"	0	3377
"CAG5872966.1"	0	1871
"CAG5876269.1"	72.5	1818
"CAG5885897.1"	0	3279
"CAG5886347.1"	0	3553
"CAG5887278.1"	0	3576
"CAG5890065.1"	68.4	1872
"CAG5895913.1"	93.4	2237
"CAG5896688.1"	0	2910
"CAG5896979.1"	0	1964
"CAG5897289.1"	0	1776
"CAG5897308.1"	0	2907
"CAG5898012.1"	0	3096
"CAG5918525.1"	0	3486
"CAG5918883.1"	43.3	2264
"CAG5921295.1"	0	3080
"CAG5923400.1"	0	3044
"CAG5924200.1"	0	2685
"CAG5924523.1"	0	3361
"CAG5927437.1"	0	2355
"CAG5927960.1"	104.6	2287
"CAG5928054.1"	0	2646
"CAG5958471.1"	0	2156
"CAG5958473.1"	0	2234
"CAG5958474.1"	146.9	2105
"CAG5958659.1"	285.1	1731
"CAG5958660.1"	285.1	1731
"CAG5979939.1"	99.7	2380
"CAG5984182.1"	0	3205
"CAG5984615.1"	0	1980
"CAG5989688.1"	0	3001
"CAG5991452.1"	0	3268
"CAG5993229.1"	0	3182
"CAG5993385.1"	0	2183
"CAG6003633.1"	0	3292
"CAG6005320.1"	30.4	0
"CAG6005332.1"	21.3	0
"CAG6011124.1"	27.1	0
"CAG6011186.1"	27.1	0
"CAG6011262.1"	95.9	2224
"CAG6011330.1"	95.9	2224
"CAG6014306.1"	96.3	2432
"CAG6015333.1"	0	3242
"CAG6015546.1"	0	3135
"CAG6015696.1"	0	3355
"CAG6016005.1"	36	2171
"CAG6017285.1"	40.6	1995
"CAG6021263.1"	42.3	1882
"CAG6021434.1"	0	3203
"CAG6021988.1"	0	3424
"KAA0701545.1"	0	2204
"KAA0701980.1"	0	3269
"KAA0702182.1"	23.5	0
"KAA0702238.1"	0	3305
"KAA0702837.1"	96.3	2641
"KAA0703076.1"	0	3206
"KAA0703191.1"	0	3342
"KAA0703457.1"	40.6	1949
"KAA0703621.1"	95.1	1520
"KAA0703622.1"	139.2	3004
"KAA0703655.1"	291.4	3026
"KAA0703656.1"	203.3	2740
"KAA0703866.1"	0	3508
"KAA0704085.1"	70.6	1539
"KAA0704133.1"	0	2054
"KAA0704245.1"	0	3072
"KAA0704293.1"	0	1548
"KAA0704350.1"	0	3068
"KAA0704782.1"	0	3107
"KAA0704817.1"	101.2	2509
"KAA0704981.1"	0	2740
"KAA0705547.1"	0	3038
"KAA0705655.1"	0	2868
"KAA0706737.1"	62.9	2001
